date,CPI,Salary,M1A(期底）金額,M1B(期底),M2(期底),準備貨幣（通貨淨額）,重貼現率,基準放款利率,連鎖實質值_GDP合計_金額(新台幣百萬元),連鎖實質值_國內需求_金額(新台幣百萬元),連鎖實質值_民間消費_金額(新台幣百萬元),連鎖實質值_政府消費_金額(新台幣百萬元),連鎖實質值_資本形成_金額(新台幣百萬元),連鎖實質值_國外淨需求_金額(新台幣百萬元),連鎖實質值_商品與服務輸出_金額(新台幣百萬元),連鎖實質值_商品與服務輸入_金額(新台幣百萬元),道瓊工業指數(DJI),那斯達克指數(IXIC),標準普爾指數(GSPC),上證指數(SSEC),深圳成指(SZSC1),日經指數(N225), 摩台指 ,美元指數(DXM8), 費城半導體(SOX) , 黃金價格(Gold) ,WTI原油(WTIoil),十年期美債利率(TNXbond),台幣兌美元匯率(USD_TWD),台股成交量,外銷訂單指數(Index 2011=100),工業及服務業受僱員工淨進入率(%),核發建照面積(千平方公尺),半導體設備進口值(新台幣百萬元),工業生產指數(Index 2016=100),電力(企業)總用電量(十億度),製造業銷售量指數(Index 2016=100),批發、零售及餐飲業營業額(十億元),非農業部門就業人數(千人),海關出口值(十億元),機械及電機設備進口值(十億元),失業率(單位：％),台股加權指數,預測台股指數漲跌
2002/10/1,0,-0.053,-0.0066,0.0037,0.0008,-0.0027,0,0,0.0189,-0.0142,0.0005,0.054,-0.0972,-0.273,0.0168,-0.0505,-0.0138,-0.0073,-0.0152,-0.0571,0,-0.06,0,0,-0.0328,-0.0104,-0.0272,0.0148,0.0115,0.6435,-0.0142,-0.09,0.1006,0,-0.031,-0.0527,-0.0197,0.023,-0.0041,0.0555,0.1724,-0.0056,-0.0426,上升
2002/11/1,0.0014,-0.0077,0.0186,0.0148,0.0073,0.0242,-0.1333,-0.0173,0,0,0,0,0,0,0,0,0.0718,0.1347,0.0647,-0.0408,0,-0.0105,0,0,0.2721,0.0092,-0.0926,0.0297,-0.0083,0.1039,0.0529,0.11,0.4539,0,0.0495,0.0159,0.0631,0.0246,0.0006,0.0368,0.0593,-0.0019,0.0946,持平
2002/12/1,-0.0024,0.1182,0.0847,0.0442,0.0118,0.0123,0,0,0,0,0,0,0,0,0,0,-0.0115,-0.0156,-0.0118,-0.0434,0,-0.0008,0,0,-0.0404,0.0493,0.1223,-0.003,0.0039,-0.1294,-0.0015,0.28,-0.2591,0,-0.0245,-0.047,-0.023,-0.006,0.0027,0.0278,-0.1045,-0.0169,-0.0118,上升
2003/1/1,0.0061,0.7555,0.0331,0.0436,0.0169,0.5009,0,-0.4254,0.008,0.0087,-0.0064,-0.0233,0.0752,0.0424,0.0178,0.0222,-0.0061,0.0017,-0.0037,0.0193,0,-0.0141,0,0,-0.0274,0.0695,0.1125,0.0015,-0.0067,0.3243,-0.0268,0.32,0.1434,0,0.0059,-0.0387,0.0042,0.022,0.003,-0.0083,0.1255,-0.0345,0.0582,下降
2003/2/1,0.0007,-0.4606,-0.0711,-0.0323,-0.006,-0.2473,0,-0.0159,0,0,0,0,0,0,0,0,-0.0659,-0.0549,-0.065,0.0514,0,-0.0038,0,0,-0.0933,0.001,0.0928,-0.0337,0.0053,-0.5724,0.0083,0,-0.0211,0,0.0182,-0.0415,0.0259,-0.0194,0.0032,-0.1414,-0.1329,-0.002,-0.0622,持平
2003/3/1,-0.0037,-0.0368,-0.0106,-0.005,-0.0038,-0.04,0,-0.0244,0,0,0,0,0,0,0,0,0.0078,0.0268,0.0107,-0.0125,0,-0.0432,0,0,0.0971,-0.0515,-0.0721,-0.0239,-0.0011,0.0442,-0.1475,-0.14,-0.5255,0,-0.1635,-0.1045,-0.1841,-0.1155,-0.0023,-0.0297,-0.0907,0.0278,-0.0299,持平
2003/4/1,0.0006,0.0094,-0.0003,0.0045,-0.0009,-0.0157,0,-0.0646,-0.0309,-0.0242,-0.0142,-0.0515,-0.029,0.0768,-0.0153,0.0014,0.0444,0.0455,0.0513,0.0452,0,-0.0319,0,0,0.0482,-0.0317,-0.1514,0.0375,0.0029,0.2457,0.1973,0.19,1.1364,0,0.2138,0.2077,0.2105,0.1147,0.0018,0.2964,0.2514,-0.0174,0.0002,持平
2003/5/1,-0.0034,0.0141,0.0093,0.0121,0.0024,0.0089,0,0,0,0,0,0,0,0,0,0,0.035,0.0811,0.0516,-0.0014,0,0.0282,0,0,0.0958,0.0809,-0.0023,-0.0967,-0.0036,-0.222,0.0146,0.02,-0.0632,0,-0.0107,0.0059,-0.0125,-0.0326,0.0027,-0.0842,-0.0792,-0.0315,-0.0294,上升
2003/6/1,-0.0004,-0.0132,0.0584,0.033,0.0058,0.0042,-0.1538,-0.018,0,0,0,0,0,0,0,0,0.055,0.0706,0.0556,-0.0051,0,0.0939,0,0,0.0622,0.0016,0.0872,-0.0658,-0.0016,1.1934,0.0196,-0.08,0.0929,0,0.0124,0.0258,-0.0061,-0.0493,-0.0012,-0.0282,-0.1485,0.0122,0.1276,上升
2003/7/1,0.0026,0.0141,-0.0242,0.007,0.0066,-0.0039,0,-0.0133,0.0542,0.0267,0.0797,0.0582,-0.1308,-0.1749,0.0863,0.0353,0.0062,0.0522,0.0046,-0.024,0,0.0877,0,0,0.0409,-0.0151,0.006,0.1891,-0.0068,0.4839,0.0115,0.18,0.0674,0,-0.0217,0.0285,0.0019,0.0387,0.0017,0.0306,0.172,0.0221,0.0856,持平
